"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Oct 28 01:24:38 GMT 2024","Mon Oct 28 01:24:38 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Delete existing workspace","Delete an existing workspace"
"broken","Mon Oct 28 01:23:48 GMT 2024","Mon Oct 28 01:23:48 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Rename an existing workspace test","Rename an existing workspace"
"broken","Mon Oct 28 01:23:14 GMT 2024","Mon Oct 28 01:23:14 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Create new workspace test","Create new Workspace"
"skipped","Mon Oct 28 01:27:27 GMT 2024","Mon Oct 28 01:27:27 GMT 2024","0","tests","test_login","TestLogin","","","Skipped test example","Skip Test example"
"broken","Mon Oct 28 01:24:56 GMT 2024","Mon Oct 28 01:24:56 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Number of projects displayed in page test","Compare between the actual number of projects seen on page and the number shown in workspaces block"
"broken","Mon Oct 28 01:26:18 GMT 2024","Mon Oct 28 01:26:18 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Delete existing project","Deleting an existing project from workspace"
"broken","Mon Oct 28 01:25:30 GMT 2024","Mon Oct 28 01:25:30 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Search for existing project test","Search for an existing project"
"broken","Mon Oct 28 01:26:43 GMT 2024","Mon Oct 28 01:26:53 GMT 2024","10274","Custom parent suite","Custom suite","Custom sub suite","","","Forgot Password with valid email test","Forgot password with a valid email address"
"broken","Mon Oct 28 01:25:48 GMT 2024","Mon Oct 28 01:25:48 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Search for non existing project","Search for a non existing project"
"broken","Mon Oct 28 01:27:00 GMT 2024","Mon Oct 28 01:27:10 GMT 2024","10275","Custom parent suite","Custom suite","Custom sub suite","","","Forgot Password with invalid email test","Forgot Password with invalid email address"
"broken","Mon Oct 28 01:25:13 GMT 2024","Mon Oct 28 01:25:13 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Add project to workspace test","Selecting and adding a project to workspace"
"broken","Mon Oct 28 01:27:15 GMT 2024","Mon Oct 28 01:27:26 GMT 2024","10286","Custom parent suite","Custom suite","Custom sub suite","","","Exception test","Exception catching"
"broken","Mon Oct 28 01:26:06 GMT 2024","Mon Oct 28 01:26:06 GMT 2024","0","tests","test_workspaces","TestWorkspaces","","","Cancel a project deletion","Cancel project deletion"
"broken","Mon Oct 28 01:24:26 GMT 2024","Mon Oct 28 01:24:36 GMT 2024","10267","tests","test_login","TestLogin","","","Login with invalid credentials test","invalid login"
"broken","Mon Oct 28 01:23:37 GMT 2024","Mon Oct 28 01:23:47 GMT 2024","10258","tests","test_login","TestLogin","","","Logout of system test","Log out from app"
"broken","Mon Oct 28 01:24:09 GMT 2024","Mon Oct 28 01:24:19 GMT 2024","10284","tests","test_login","TestLogin","","","Login with invalid credentials test","invalid login"
"broken","Mon Oct 28 01:23:03 GMT 2024","Mon Oct 28 01:23:13 GMT 2024","10253","tests","test_login","TestLogin","","","Login with valid credentials test","valid login"
