"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Skip Test example","0","Skipped test example","tests","Wed Apr 30 01:41:24 GMT 2025","skipped","Wed Apr 30 01:41:24 GMT 2025","TestLogin","test_login","",""
"Selecting and adding a project to workspace","0","Add project to workspace test","tests","Wed Apr 30 01:39:31 GMT 2025","broken","Wed Apr 30 01:39:31 GMT 2025","TestWorkspaces","test_workspaces","",""
"invalid login","10240","Login with invalid credentials test","tests","Wed Apr 30 01:38:52 GMT 2025","broken","Wed Apr 30 01:39:02 GMT 2025","TestLogin","test_login","",""
"Forgot password with a valid email address","10239","Forgot Password with valid email test","Custom parent suite","Wed Apr 30 01:40:45 GMT 2025","broken","Wed Apr 30 01:40:55 GMT 2025","Custom sub suite","Custom suite","",""
"Create new Workspace","0","Create new workspace test","tests","Wed Apr 30 01:37:50 GMT 2025","broken","Wed Apr 30 01:37:50 GMT 2025","TestWorkspaces","test_workspaces","",""
"Cancel project deletion","0","Cancel a project deletion","tests","Wed Apr 30 01:40:12 GMT 2025","broken","Wed Apr 30 01:40:12 GMT 2025","TestWorkspaces","test_workspaces","",""
"valid login","10274","Login with valid credentials test","tests","Wed Apr 30 01:37:39 GMT 2025","broken","Wed Apr 30 01:37:49 GMT 2025","TestLogin","test_login","",""
"Forgot Password with invalid email address","10294","Forgot Password with invalid email test","Custom parent suite","Wed Apr 30 01:40:59 GMT 2025","broken","Wed Apr 30 01:41:09 GMT 2025","Custom sub suite","Custom suite","",""
"Compare between the actual number of projects seen on page and the number shown in workspaces block","0","Number of projects displayed in page test","tests","Wed Apr 30 01:39:17 GMT 2025","broken","Wed Apr 30 01:39:17 GMT 2025","TestWorkspaces","test_workspaces","",""
"Log out from app","10237","Logout of system test","tests","Wed Apr 30 01:38:07 GMT 2025","broken","Wed Apr 30 01:38:17 GMT 2025","TestLogin","test_login","",""
"invalid login","10190","Login with invalid credentials test","tests","Wed Apr 30 01:38:35 GMT 2025","broken","Wed Apr 30 01:38:46 GMT 2025","TestLogin","test_login","",""
"Search for an existing project","0","Search for existing project test","tests","Wed Apr 30 01:39:44 GMT 2025","broken","Wed Apr 30 01:39:44 GMT 2025","TestWorkspaces","test_workspaces","",""
"Exception catching","10236","Exception test","Custom parent suite","Wed Apr 30 01:41:13 GMT 2025","broken","Wed Apr 30 01:41:24 GMT 2025","Custom sub suite","Custom suite","",""
"Rename an existing workspace","0","Rename an existing workspace test","tests","Wed Apr 30 01:38:18 GMT 2025","broken","Wed Apr 30 01:38:18 GMT 2025","TestWorkspaces","test_workspaces","",""
"Deleting an existing project from workspace","0","Delete existing project","tests","Wed Apr 30 01:40:25 GMT 2025","broken","Wed Apr 30 01:40:25 GMT 2025","TestWorkspaces","test_workspaces","",""
"Search for a non existing project","0","Search for non existing project","tests","Wed Apr 30 01:39:58 GMT 2025","broken","Wed Apr 30 01:39:58 GMT 2025","TestWorkspaces","test_workspaces","",""
"Delete an existing workspace","0","Delete existing workspace","tests","Wed Apr 30 01:39:03 GMT 2025","broken","Wed Apr 30 01:39:03 GMT 2025","TestWorkspaces","test_workspaces","",""
